# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2025
#
   #    World Rank   ,  Institution   ,  Country   ,   
    1  ,   Harvard University   ,USA   
    2  ,   Stanford University   ,USA   
    3  ,   Massachusetts Institute of Technology - MIT   ,USA   
    4  ,   University of Cambridge   ,UK   
    5  ,   University of California - Berkeley   ,USA   
    6  ,   University of Oxford   ,UK   
    7  ,   Princeton University   ,USA   
    8  ,   Columbia University   ,USA   
    9  ,   California Institute of Technology - Caltech   ,USA   
    10  ,   University of Chicago   ,USA   
    11  ,   Yale University   ,USA   
    12  ,   Cornell University   ,USA   
    13  ,   Université Paris-Saclay   ,France   
    14  ,   University College London   ,UK   
    14  ,   University of Pennsylvania   ,USA   
    16  ,   University of California - Los Angeles   ,USA   
    17  ,   University of Washington   ,USA   
    18  ,   Tsinghua University   ,China   
    19  ,   Johns Hopkins University   ,USA   
    20  ,   University of California - San Diego   ,USA   
    21  ,   University of California - San Francisco   ,USA   
    22  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    23  ,   Peking University   ,China   
    24  ,   Zhejiang University   ,China   
    25  ,   University of Toronto   ,Canada   
    26  ,   Imperial College London   ,UK   
    26  ,   Washington University in St. Louis   ,USA   
    28  ,   New York University   ,USA   
    29  ,   Rockefeller University   ,USA   
    30  ,   Shanghai Jiao Tong University   ,China   
    31  ,   The University of Tokyo   ,Japan   
    31  ,   Northwestern University   ,USA   
    33  ,   University of Michigan - Ann Arbor   ,USA   
    34  ,   PSL Research University Paris   ,France   
    35  ,   University of Copenhagen   ,Denmark   
    36  ,   University of Wisconsin-Madison   ,USA   
    37  ,   University of Edinburgh   ,UK   
    38  ,   University of Melbourne   ,Australia   
    39  ,   University of North Carolina at Chapel Hill   ,USA   
    40  ,   University of Science and Technology of China   ,China   
    41  ,   Fudan University   ,China   
    42  ,   University of München   ,Germany   
    43  ,   Sorbonne University   ,France   
    44  ,   Swiss Federal Institute of Technology Lausanne - EPFL   ,Switzerland   
    45  ,   Technical University of München   ,Germany   
    46  ,   Kyoto University   ,Japan   
    46  ,   University of Manchester   ,UK   
    46  ,   Duke University   ,USA   
    49  ,   University of Texas at Austin   ,USA   
    50  ,   Karolinska Institute   ,Sweden   
    51  ,   University of Heidelberg   ,Germany   
    51  ,   University of Minnesota - Twin Cities   ,USA   
    53  ,   University of British Columbia   ,Canada   
    53  ,   University of Illinois at Urbana-Champaign   ,USA   
    55  ,   University of Maryland at College Park   ,USA   
    56  ,   Utrecht University   ,Netherlands   
