# University Ranking Results - www.universityrankings.ch
# Ranking: 
# Year: 2026
#
   #    World Rank   ,  Institution   ,  Country   ,   
    1  ,   University of Oxford   ,UK   
    2  ,   Massachusetts Institute of Technology - MIT   ,USA   
    3  ,   University of Cambridge   ,UK   
    3  ,   Princeton University   ,USA   
    5  ,   Stanford University   ,USA   
    5  ,   Harvard University   ,USA   
    7  ,   California Institute of Technology - Caltech   ,USA   
    8  ,   Imperial College London   ,UK   
    9  ,   University of California - Berkeley   ,USA   
    10  ,   Yale University   ,USA   
    11  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    12  ,   Tsinghua University   ,China   
    13  ,   Peking University   ,China   
    14  ,   University of Pennsylvania   ,USA   
    15  ,   University of Chicago   ,USA   
    16  ,   Johns Hopkins University   ,USA   
    17  ,   National University of Singapore   ,Singapore   
    18  ,   University of California - Los Angeles   ,USA   
    18  ,   Cornell University   ,USA   
    20  ,   Columbia University   ,USA   
    21  ,   University of Toronto   ,Canada   
    22  ,   University College London   ,UK   
    23  ,   University of Michigan - Ann Arbor   ,USA   
    24  ,   Carnegie Mellon University   ,USA   
    25  ,   University of Washington   ,USA   
    26  ,   The University of Tokyo   ,Japan   
    27  ,   Technical University of München   ,Germany   
    28  ,   Duke University   ,USA   
    29  ,   University of Edinburgh   ,UK   
    30  ,   Northwestern University   ,USA   
    31  ,   Nanyang Technological University   ,Singapore   
    31  ,   New York University   ,USA   
    33  ,   University of Hong Kong   ,Hong Kong   
    34  ,   University of München   ,Germany   
    35  ,   Swiss Federal Institute of Technology Lausanne - EPFL   ,Switzerland   
    36  ,   Fudan University   ,China   
    37  ,   University of Melbourne   ,Australia   
    38  ,   King's College London   ,UK   
    39  ,   Zhejiang University   ,China   
    40  ,   Shanghai Jiao Tong University   ,China   
    41  ,   McGill University   ,Canada   
    41  ,   Chinese University of Hong Kong   ,Hong Kong   
    41  ,   Georgia Institute of Technology   ,USA   
    41  ,   University of Illinois at Urbana-Champaign   ,USA   
    45  ,   University of British Columbia   ,Canada   
    46  ,   Catholic University of Leuven   ,Belgium   
    47  ,   University of California - San Diego   ,USA   
    48  ,   PSL Research University Paris   ,France   
    49  ,   University of Heidelberg   ,Germany   
    50  ,   University of Texas at Austin   ,USA   
    51  ,   University of Science and Technology of China   ,China   
    52  ,   London School of Economics   ,UK   
    53  ,   University of Sydney   ,Australia   
    53  ,   Karolinska Institute   ,Sweden   
    53  ,   University of Wisconsin-Madison   ,USA   
    56  ,   University of Manchester   ,UK   
    57  ,   Delft University of Technology   ,Netherlands   
    58  ,   Monash University   ,Australia   
    58  ,   Hong Kong University of Science and Technology   ,Hong Kong   
    58  ,   Seoul National University   ,South Korea   
    61  ,   Kyoto University   ,Japan   
    62  ,   Nanjing University   ,China   
    62  ,   University of Amsterdam   ,Netherlands   
    64  ,   University of California - Davis   ,USA   
    65  ,   Brown University   ,USA   
    66  ,   Wageningen University & Research Center   ,Netherlands   
    67  ,   Washington University in St. Louis   ,USA   
    68  ,   Université Paris-Saclay   ,France   
    68  ,   Institut Polytechnique de Paris   ,France   
    70  ,   Korea Advanced Institute of Science and Technology   ,South Korea   
    70  ,   University of Leiden   ,Netherlands   
    72  ,   University of California - Santa Barbara   ,USA   
    73  ,   Australian National University   ,Australia   
    73  ,   University of Southern California   ,USA   
    75  ,   City University of Hong Kong   ,Hong Kong   
    76  ,   Boston University   ,USA   
    76  ,   Sorbonne University   ,France   
    78  ,   University of North Carolina at Chapel Hill   ,USA   
    79  ,   University of New South Wales   ,Australia   
    80  ,   University of Queensland   ,Australia   
    80  ,   University of Bristol   ,UK   
    82  ,   University of Groningen   ,Netherlands   
    83  ,   Hong Kong Polytechnic University   ,Hong Kong   
    84  ,   University of Glasgow   ,UK   
    85  ,   Purdue University   ,USA   
    86  ,   Yonsei University   ,South Korea   
    87  ,   Sungkyunkwan University   ,South Korea   
    88  ,   University of Minnesota - Twin Cities   ,USA   
    89  ,   Humboldt University of Berlin   ,Germany   
    90  ,   University of Copenhagen   ,Denmark   
    91  ,   Charité - University Medicine Berlin   ,Germany   
    92  ,   University of Bonn   ,Germany   
    92  ,   Vanderbilt University   ,USA   
    92  ,   RWTH Aachen University   ,Germany   
    95  ,   University of Vienna   ,Austria   
    95  ,   Lund University   ,Sweden   
    97  ,   University of California - Irvine   ,USA   
    98  ,   University of Tübingen   ,Germany   
    98  ,   KTH - Royal Institute of Technology   ,Sweden   
    98  ,   University of Birmingham   ,UK   
    101  ,   Aarhus University   ,Denmark   
    102  ,   Emory University   ,USA   
    103  ,   Tohoku University   ,Japan   
    103  ,   Rice University   ,USA   
    105  ,   University of Helsinki   ,Finland   
    105  ,   Michigan State University   ,USA   
    107  ,   Erasmus University Rotterdam   ,Netherlands   
    108  ,   University of Bern   ,Switzerland   
    108  ,   University of Sheffield   ,UK   
    108  ,   Ohio State University   ,USA   
    108  ,   Pennsylvania State University   ,USA   
    112  ,   University of Massachusetts (System)   ,USA   
    113  ,   Free University of Berlin   ,Germany   
    113  ,   University of Oslo   ,Norway   
    115  ,   University of Gent   ,Belgium   
    116  ,   McMaster University   ,Canada   
    116  ,   University of Maryland at College Park   ,USA   
    118  ,   University of Leeds   ,UK   
    119  ,   University of Alberta   ,Canada   
    120  ,   University of Basel   ,Switzerland   
    121  ,   Technical University of Denmark   ,Denmark   
    122  ,   Wuhan University   ,China   
    122  ,   University of Göttingen   ,Germany   
