Rank,University,Country,Score,Enrollment
1,Harvard University,United States,,
2,Massachusetts Institute of Technology (MIT),United States,,
3,Stanford University,United States,,
4,University of Oxford,United Kingdom,,
5,University of Cambridge,United Kingdom,,
6,University of California Berkeley,United States,,
7,University College London,United Kingdom,,
8,University of Washington Seattle,United States,,
9,Yale University,United States,,
10,Columbia University,United States,,
11,Imperial College London,United Kingdom,,
11,Tsinghua University,China,,
13,University of California Los Angeles,United States,,
14,Johns Hopkins University,United States,,
15,University of Pennsylvania,United States,,
16,Cornell University,United States,,
16,Princeton University,United States,,
16,University of California San Francisco,United States,,
16,University of Toronto,Canada,,
20,National University of Singapore,Singapore,,
21,University of California San Diego,United States,,
21,University of Michigan,United States,,
23,California Institute of Technology,United States,,
24,Northwestern University,United States,,
25,Peking University,China,,
26,University of Chicago,United States,,
27,Duke University,United States,,
28,Nanyang Technological University,Singapore,,
29,University of Sydney,Australia,,
30,University of Melbourne,Australia,,
31,Washington University (WUSTL),United States,,
32,New York University,United States,,
33,University of Amsterdam,Netherlands,,
34,University of New South Wales Sydney,Australia,,
35,ETH Zurich,Switzerland,,
36,King's College London,United Kingdom,,
37,Chinese University of Hong Kong,Hong Kong,,
38,Monash University,Australia,,
39,University of Edinburgh,United Kingdom,,
40,Icahn School of Medicine at Mount Sinai,United States,,
41,University of British Columbia,Canada,,
41,University of Copenhagen,Denmark,,
43,University of Queensland,Australia,,
44,University of Hong Kong,Hong Kong,,
45,Zhejiang University,China,,
46,Shanghai Jiao Tong University,China,,
47,Humboldt University of Berlin,Germany,,
47,Universite Paris Cite,France,,
49,Utrecht University,Netherlands,,
50,KU Leuven,Belgium,,
51,University of North Carolina Chapel Hill,United States,,
52,Karolinska Institutet,Sweden,,
52,University of Pittsburgh,United States,,
54,City University of Hong Kong,Hong Kong,,
54,"University of Chinese Academy of Sciences, CAS",China,,
56,Leiden University,Netherlands,,
57,University of Munich,Germany,,
58,Hong Kong Polytechnic University,Hong Kong,,
59,Free University of Berlin,Germany,,
59,Ruprecht Karls University Heidelberg,Germany,,
59,University of Zurich,Switzerland,,
62,McGill University,Canada,,
62,Sorbonne Universite,France,,
62,University of Glasgow,United Kingdom,,
65,University of Texas Austin,United States,,
66,Ohio State University,United States,,
66,Vanderbilt University,United States,,
68,University of Manchester,United Kingdom,,
69,Emory University,United States,,
70,Fudan University,China,,
71,"University of Science & Technology of China, CAS",China,,
72,University of Maryland College Park,United States,,
72,University of Minnesota Twin Cities,United States,,
72,University of Wisconsin Madison,United States,,
75,University of Groningen,Netherlands,,
76,Erasmus University Rotterdam,Netherlands,,
77,University of Southern California,United States,,
78,Universite Paris Saclay,France,,
79,Georgia Institute of Technology,United States,,
79,Technical University of Munich,Germany,,
79,Vrije Universiteit Amsterdam,Netherlands,,
82,University of Barcelona,Spain,,
83,University of Technology Sydney,Australia,,
84,University of Tokyo,Japan,,
85,Sun Yat Sen University,China,,
86,Australian National University,Australia,,
86,Boston University,United States,,
86,Ecole Polytechnique Federale de Lausanne,United States,,
86,Nanjing University,China,,
90,Wuhan University,China,,
91,Huazhong University of Science & Technology,China,,
91,Pennsylvania State University,United States,,
91,University of California Santa Barbara,United States,,
94,Queen Mary University London,United Kingdom,,
94,University of Birmingham,United Kingdom,,
96,University of California Davis,United States,,
96,University of California Irvine,United States,,
98,University of Western Australia,Australia,,
99,University of Adelaide,Australia,,
100,University of Oslo,Norway,,
101,Hong Kong University of Science & Technology,Hong Kong,,
102,King Abdulaziz University,Saudi Arabia,,
103,University of Texas Southwestern Medical Center Dallas,United States,,
104,Rockefeller University,United States,,
105,Universite PSL,France,,
105,University of Bristol,United Kingdom,,
107,Ghent University,Belgium,,
107,University of Colorado Boulder,United States,,
109,Hunan University,China,,
109,University of Florida,United States,,
109,University of Illinois Urbana-Champaign,United States,,
112,King Abdullah University of Science & Technology,Saudi Arabia,,
113,University of Helsinki,Finland,,
114,University of Bern,Switzerland,,
115,University of Arizona,United States,,
115,Wageningen University & Research,Netherlands,,
117,Aarhus University,Denmark,,
118,London School of Hygiene & Tropical Medicine,United Kingdom,,
118,University of Southampton,United Kingdom,,
120,University of Geneva,Switzerland,,
121,Lund University,Sweden,,
122,Radboud University Nijmegen,Netherlands,,
123,Southern University of Science & Technology,China,,
124,Tongji University,China,,
124,University of Cape Town,South Africa,,
126,Carnegie Mellon University,United States,,
127,University of Exeter,United Kingdom,,
128,Harbin Institute of Technology,China,,
128,University of Auckland,New Zealand,,
130,Autonomous University of Barcelona,Spain,,
131,Baylor College of Medicine,United States,,
131,Weizmann Institute of Science,Israel,,
133,Michigan State University,United States,,
133,Seoul National University (SNU),South Korea,,
133,University of California Santa Cruz,United States,,
133,University of Leeds,United Kingdom,,
137,University of Electronic Science & Technology of China,China,,
137,University of Liverpool,United Kingdom,,
137,University of Padua,Italy,,
137,University of Virginia,United States,,
141,University of Bologna,Italy,,
141,University of Hamburg,Germany,,
141,University of Utah,United States,,
141,Uppsala University,Sweden,,
