original_name,canonical_name,canonical_id,country,match_type,confidence,processing_time_ms
"harvard university","Harvard University","canonical-0087","USA",canonical,1,
"stanford university","Stanford University","canonical-0088","USA",canonical,1,
"massachusetts institute of technology","Massachusetts Institute of Technology (MIT)","canonical-0086","USA",normalized,0.95,
"university of cambridge","University of Cambridge","canonical-0090","UK",canonical,1,
"university of california berkeley","University of California Berkeley","canonical-0091","USA",canonical,1,
"university of oxford","University of Oxford","canonical-0089","UK",canonical,1,
"princeton university","Princeton University","canonical-0094","USA",canonical,1,
"california institute of technology","California Institute of Technology","canonical-0003","Unknown",canonical,1,
"columbia university","Columbia University","canonical-0101","USA",canonical,1,
"university of chicago","University of Chicago","canonical-0098","USA",canonical,1,
