    1  ,   University of Oxford   ,UK   
    2  ,   Massachusetts Institute of Technology - MIT   ,USA   
    3  ,   Harvard University   ,USA   
    4  ,   Princeton University   ,USA   
    5  ,   University of Cambridge   ,UK   
    6  ,   Stanford University   ,USA   
    7  ,   California Institute of Technology - Caltech   ,USA   
    8  ,   University of California - Berkeley   ,USA   
    9  ,   Imperial College London   ,UK   
    10  ,   Yale University   ,USA   
    11  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    12  ,   Tsinghua University   ,China   
    13  ,   Peking University   ,China   
    14  ,   University of Chicago   ,USA   
    14  ,   University of Pennsylvania   ,USA   
    16  ,   Johns Hopkins University   ,USA   
    17  ,   National University of Singapore   ,Singapore   
    18  ,   University of California - Los Angeles   ,USA   
    18  ,   Columbia University   ,USA   
    20  ,   Cornell University   ,USA   
    21  ,   University of Toronto   ,Canada   
    22  ,   University College London   ,UK   
    22  ,   University of Michigan - Ann Arbor   ,USA   
    24  ,   Carnegie Mellon University   ,USA   
    25  ,   University of Washington   ,USA   
    26  ,   Technical University of München   ,Germany   
    27  ,   Duke University   ,USA   
    28  ,   The University of Tokyo   ,Japan   
    29  ,   University of Edinburgh   ,UK   
    30  ,   Nanyang Technological University   ,Singapore   
