# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2025
#
   #    World Rank   ,  Institution   ,  Country   ,   
    1  ,   University of Oxford   ,UK   
    2  ,   Massachusetts Institute of Technology - MIT   ,USA   
    3  ,   Harvard University   ,USA   
    4  ,   Princeton University   ,USA   
    5  ,   University of Cambridge   ,UK   
    6  ,   Stanford University   ,USA   
    7  ,   California Institute of Technology - Caltech   ,USA   
    8  ,   University of California - Berkeley   ,USA   
    9  ,   Imperial College London   ,UK   
    10  ,   Yale University   ,USA   
    11  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    12  ,   Tsinghua University   ,China   
    13  ,   Peking University   ,China   
    14  ,   University of Chicago   ,USA   
    14  ,   University of Pennsylvania   ,USA   
